2025-10-22 14:31:19,823 - INFO - Registering strategy: consolidation_breakout
2025-10-22 14:31:19,829 - INFO - TradeEngine initialized with account balance: 10000.00
2025-10-22 14:31:19,829 - INFO - Processing data for EURUSD=X on 2025-10-20
2025-10-22 14:31:20,663 - INFO - Generating payload for candle at 2025-10-20 04:30:00+00:00. ctx_data length: 67. row_data: {'Adj Close': 1.1674060821533203, 'Close': 1.1674060821533203, 'High': 1.1674060821533203, 'Low': 1.1672697067260742, 'Open': 1.1672697067260742, 'Volume': 0.0}
2025-10-22 14:31:20,665 - INFO - Generating payload for candle at 2025-10-20 04:35:00+00:00. ctx_data length: 68. row_data: {'Adj Close': 1.1675423383712769, 'Close': 1.1675423383712769, 'High': 1.1675423383712769, 'Low': 1.1672697067260742, 'Open': 1.1672697067260742, 'Volume': 0.0}
2025-10-22 14:31:20,668 - INFO - Generating payload for candle at 2025-10-20 04:40:00+00:00. ctx_data length: 69. row_data: {'Adj Close': 1.1674060821533203, 'Close': 1.1674060821533203, 'High': 1.1674060821533203, 'Low': 1.1671334505081177, 'Open': 1.1672697067260742, 'Volume': 0.0}
2025-10-22 14:31:20,671 - INFO - Generating payload for candle at 2025-10-20 04:45:00+00:00. ctx_data length: 70. row_data: {'Adj Close': 1.1676785945892334, 'Close': 1.1676785945892334, 'High': 1.1676785945892334, 'Low': 1.1675423383712769, 'Open': 1.1675423383712769, 'Volume': 0.0}
2025-10-22 14:31:20,673 - INFO - Generating payload for candle at 2025-10-20 04:50:00+00:00. ctx_data length: 71. row_data: {'Adj Close': 1.1676785945892334, 'Close': 1.1676785945892334, 'High': 1.1676785945892334, 'Low': 1.1676785945892334, 'Open': 1.1676785945892334, 'Volume': 0.0}
2025-10-22 14:31:20,675 - INFO - Generating payload for candle at 2025-10-20 04:55:00+00:00. ctx_data length: 72. row_data: {'Adj Close': 1.1675423383712769, 'Close': 1.1675423383712769, 'High': 1.1676785945892334, 'Low': 1.1675423383712769, 'Open': 1.1676785945892334, 'Volume': 0.0}
2025-10-22 14:31:20,677 - INFO - Generating payload for candle at 2025-10-20 05:00:00+00:00. ctx_data length: 73. row_data: {'Adj Close': 1.1674060821533203, 'Close': 1.1674060821533203, 'High': 1.1674060821533203, 'Low': 1.1674060821533203, 'Open': 1.1674060821533203, 'Volume': 0.0}
2025-10-22 14:31:20,678 - INFO - Generating payload for candle at 2025-10-20 05:05:00+00:00. ctx_data length: 74. row_data: {'Adj Close': 1.1675423383712769, 'Close': 1.1675423383712769, 'High': 1.1675423383712769, 'Low': 1.1674060821533203, 'Open': 1.1674060821533203, 'Volume': 0.0}
2025-10-22 14:31:20,680 - INFO - Generating payload for candle at 2025-10-20 05:10:00+00:00. ctx_data length: 75. row_data: {'Adj Close': 1.1675423383712769, 'Close': 1.1675423383712769, 'High': 1.1675423383712769, 'Low': 1.1675423383712769, 'Open': 1.1675423383712769, 'Volume': 0.0}
2025-10-22 14:31:20,684 - INFO - Generating payload for candle at 2025-10-20 05:15:00+00:00. ctx_data length: 76. row_data: {'Adj Close': 1.1675423383712769, 'Close': 1.1675423383712769, 'High': 1.1676785945892334, 'Low': 1.1675423383712769, 'Open': 1.1675423383712769, 'Volume': 0.0}
